Actors,Expertise/Interests,Doctorate/ Highest degree,Organization,Department,College/ School,Award Number,Title,Abstract,Project Keywords (Survey),Project Categories,Corrected Tags,MappedExpertise,ExpertiseCategories,CleanedDepartment
Leslie Neely,"Autism, Applied behavior analysis, training challenging behavior",,University of Texas at San Antonio,Educational Psychology,,2202632,"Enhancing Programming and Machine Learning Education for Students with Visual Impairments through the Use of Compilers, AI and Cloud Technologies","Attractive high-paying and highly flexible Computer Science careers should be more readily accessible for people with blindness or visual impairments (BVI). Unfortunately, teaching the required computer programming and data science skills to students with BVI is extremely challenging due to two major difficulties. The first difficulty comes from the limited capability of current screen readers to properly read computer codes that are a mix of English letters, digits, and punctuation marks. The specialized set of keystrokes used in programming is also not conveniently read by screen readers (e.g., spaces and tabs). The second difficulty comes from time-consuming and frustrating code navigation, whereby students with BVI must repeatedly use screen readers to read every line to locate the desired line for editing. Partnering with San Antonio Lighthouse for the Blind and Vision Impaired, the project will develop new accessibility tools, including a program syntax- and semantics-aware screen reader and a voice-command-based code navigation framework to address the above two difficulties. These accessibility tools will be offered through cloud-based web interfaces to provide nationwide access to students and educators. The success of this project will improve the effectiveness of teaching computer programming and data science to students with BVI, which in turn will increase accessibility for more individuals with BVI to participate in Computing Science with high-paying career opportunities and could lead to a more-diverse Computer Science workforce. <br/> <br/>These accessibility tools will use compilers, Artificial Intelligence (AI), and cloud technologies to read computer code statements based on their meanings, rather than only reading one character at a time. The screen reader will articulate the necessary information that beginning coders need and help them more easily understand the lexicon and semantics used in computer programming and data science. The voice-command-based code navigation will employ speech recognition and natural language processing so that students will be able to use their voice to easily locate a specific statement (e.g., a variable declaration) within their code. These accessibility tools will be integrated into Jupyter notebook and offered through the cloud which will give nationwide access to students and educators. This cloud-based solution will also allow sophisticated AI models to be employed without requiring the students to have powerful and expensive computers to run these accessibility tools. The project will conduct a systematic evaluation of these accessibility tools using single-case research design to deepen the understanding of how technologies, including compilers, AI, and cloud computing, can be applied to teaching Computer Science skills to students with BVI. The evaluation will also provide feedback on the effectiveness of different speech styles and provide additional feedback for future improvements of these accessibility tools.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Natural language processing and speech technologies; Workforce development; Accessibility and technology; Single-case Research Design,,"Natural language processing and speech technologies, Accessibility and technology, Machine learning, AI","Multimodal data analysis,Workforce development,Inclusive/universal design","Analytics,Equity and Social Justice,Capacity Building",Psychology
Sergiu Dascalu,"Software development techniques and tools for scientific research, Software requirements, Software design, Simulation environments, Human-computer interaction, User interaction design, Data visualization, Brain-computer interaction, Virtual reality, Data science, Computer-aided education",,"University of Nevada, Reno",Computer Science & Engineering,,2202640,Impact of Utilizing Immersive Virtual Reality and Dynamic Assessment on Mining Engineering Education from the Community of Inquiry Perspective,"A qualified workforce for domestic mining production of critical minerals is essential to a clean energy transition. However, current U.S. mining engineering education programs are not adequately producing mining graduates with the desired qualifications. A lack of in-depth understanding of the scientific principles involved in mining engineering is one the primary factors prohibiting mining engineers from excelling in their duties. To improve the situation, innovations are needed to transform traditional mining engineering education. This project will study the application of immersive virtual reality (IVR) technology as an innovative tool to improve mining engineering education, with froth flotation as a test topic. Froth flotation is a complex three-phase mineral separation process that relies on interactions between physics, chemistry, and the flotation machine to recover valuable minerals. The project takes an interdisciplinary approach, with experts in mining engineering, computer science and engineering, cognitive psychology, learning analytics, and chemistry, working alongside multi-national mining companies to develop an IVR based platform for froth flotation education. Although the primary focus is on froth flotation, the IVR platform can be applied to a broad range of learning domains by substituting new content. The project also collaborates with the University Libraries @Reality Virtual + Augmented Reality Lab at the University of Nevada, Reno to promote learning with emerging technologies for a wide range of visitors, including university students and educators, Northern Nevada residents with their young children, and local K-12 students. <br/><br/>The project will be conducted with the community of inquiry (CoI) as the pedagogical framework and a dynamic assessment approach as a measurement tool. Three objectives will be achieved: 1) determining the implications of the CoI framework in an IVR environment in the context of froth flotation education, 2) developing dynamic assessment models to predict students’ learning outcomes using the CoI indicators measured in the IVR environment, and 3) demonstrating to what extent the application of IVR observed within the CoI framework and augmented by dynamic assessment can enhance froth flotation education. The research outcomes can potentially advance the current state-of-the-art in three areas: 1) improving froth flotation education by adopting an innovative teaching and learning platform, 2) adding new knowledge to the science of education by understanding how the integration of the CoI framework and dynamic assessment can impact the efficacy of the IVR application, and 3) advancing IVR software engineering in terms of software specification, design and implementation, usability, and testing and evaluation. This project is a critical first step in addressing gaps in the preparation of a U.S. workforce for domestic mining of critical minerals.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Cyber-enhanced/Computer-assisted assessments, Augmented/virtual/mixed reality, Engineering education, Learning analytics","Software engineering ,Narrative and simulated environments,Neuroscience,HCI,Data mining,Augmented/virtual/mixed reality,Data visualization representations and dashboards,Software engineering","Analytics,Learning Environments and Platforms,Other Disciplinary Areas,Research Methods,Learning Processes and Theories","Computer Science, Engineering"
Danielle Oprean,"Virtual reality and game development, Evaluation of user experience with immersive technology, Investigating spatial learning through technology mediation",,University of Missouri-Columbia,College of Education & Human Development,,2202108,Research on the Use of Real-Time Tracking and Eye-Tracking Technology for Integrating Metacognition and Augmented Reality into Undergraduate Engineering Laboratories,"This project aims to innovate Augmented Reality (AR) learning platforms in an undergraduate engineering laboratory. Recently, due to the COVID-19 pandemic, in-person engineering laboratories faced significant challenges in providing hands-on exercise. AR technology might be a solution to the current challenge. Unlike virtual reality, AR does not cover a physical world but mixes 3D virtual objects into physical objects to improve students’ laboratory experiences and spatial awareness. However, students faced difficulties navigating the AR device and have experienced a mismatch between computer-generated 3D images and physical objects while learning in an AR environment. To transform AR learning from a static and isolated experience into a dynamic self-study, this project includes research on using a real-time tracking sensor with a 3D full-body motion capture system to improve AR usability and detect student’s premature termination of learning using metacognitive monitoring feedback and eye-tracking technology.  <br/><br/>The primary goal of this project is to integrate real-time 3D motion and location tracking systems to meet a series of objectives to gain insight into scientific development and technological innovation in a location-based AR environment. The first objective is to create the next generation of an AR learning platform by integrating state-of-the-art indoor real-time location technology and a 3D full-body motion capture system. The second objective is to detect the early termination of learning by using metacognitive monitoring feedback and eye movement data. The researchers will apply advanced gaze behavior metrics, such as fractal analysis of pupil dilation and eye inter-fixation duration, to identify significant eye gaze behavior representing student’s premature termination of learning. The last objective is to implement the research findings to promote instructional improvement in an engineering laboratory on the impact of receiving metacognitive feedback on learning performance. The current project will address integrated research and education activities to enhance our knowledge of effective undergraduate engineering laboratory education using real-time 3D motion and location tracking capabilities.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Formative assessment, Augmented/virtual/mixed reality, Biometrics (e.g.,eye-tracking,EEG), Self-regulation,reflection and metacognition","Science education,Data mining,Augmented/virtual/mixed reality,Games and game making","Analytics,Disciplinary Areas,Learning Environments and Platforms","Education, Psychology"
Xiaojin Zhu,"machine learning methods for optimal teaching, topological data analysis, semi-supervised learning, active learning, human behaviors, analyze social media for social good",,University of Wisconsin-Madison,Computer Science,,2202457,Digitally Inoculating Viewers Against Visual Misinformation With a Perceptual Training,"Misinformation impedes people’s ability to make informed decisions in many areas, for example politics, health care, purchasing, or investing. Misinformation can be created by accident or intentionally. Misleading graphs are a particularly dangerous form of misinformation because they can make false information more believable and reach viewers faster. To combat misinformation in graphs, one needs to consider two aspects of graph comprehension: conceptual reasoning and perception. Prior research has focused on conceptual reasoning about graphs. Yet, because perception is automatic it is especially prone to false information in misleading graphs. This project focuses on perception. The investigators will develop a perceptual training method that helps viewers to extract correct information from misleading graphs. The perceptual training method will be provided as a web browser plugin. It will provide feedback as viewers see misleading graphs on the web. The investigators will use machine learning algorithms to design the perceptual training method. The project will advance scientific understanding of perception in graph comprehension. It will also develop machine learning algorithms for educational purposes. The project will provide new tools for addressing issues of misinformation. <br/><br/>Misinformation poses a severe risk to society. Misleading graphs are a type of visual misinformation that can quickly convey false information to viewers. While existing interventions for visual misinformation target conceptual processes, perceptual processes also play an important role. Perceptual processes are automatic and prone to biases. Visual misinformation often targets perceptual over conceptual processing. Therefore, this project directly targets perceptual processes. Investigators will develop a perceptual training method that will teach viewers to extract correct information from misleading graphs so that they become “immune” against visual misinformation. The perceptual training method will be delivered as a web browser plugin and will have two components. First, upon installing the browser plugin, viewers will receive a 2-minute massed training that will serve as the initial “vaccine” against misleading graphs. Second, the browser plugin will deliver a spaced training by giving feedback when viewers encounter misleading graphs on the web, which serves as a “booster” for their immunity. The investigators will use machine learning algorithms to decide which type of feedback the perceptual training should offer and how often such feedback should be provided. Two randomized experiments will evaluate components of the perceptual training method while participants browse the web. This project will advance scientific understanding of perceptual learning, educational applications of machine learning algorithms, and will develop novel approaches to combat misinformation.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.","Machine learning; Data visualization, representations, and dashboards; Misinformation; Cognitive psychology / Cognitive science",,"Machine learning, Data visualization,representations and dashboards","Learning analytics,Machine learning,Learning analytics,Social welfare development and responsibility,Behavior analysis","Analytics,Other Disciplinary Areas,AI Approaches and Technologies",Computer Science
Rebecca Vieyra,"Teacher education network, mobile sensors for education",,University of Colorado at Boulder,Global Initiatives of the PhET Interactive Simulations,,2114586,Combining Smartphone Light Detection and Ranging with Augmented Reality to Enhance Position-Based Teaching and Learning in STEM,"Understanding how to measure, display, and interpret motion is important for many STEM-related careers, particularly in the physical and data sciences. Educational researchers have advocated for numerous approaches to support sense-making with mathematical models of motion, but teachers often struggle to enact them due to limited resources. This project will make high-precision position sensing a reality for anyone who owns a smartphone by building on light-based mobile sensors (LiDAR) that are able to detect one’s distance from objects and location within a space. The educational research will measure the effect of using this new technology to improve student learning and engagement with regard to mathematical models with motion graphs, by producing a classroom-ready application and gamified lessons for teachers and students to use in traditional classrooms as well as the home. <br/><br/>Researchers and educational software developers will develop new data visualization technology based on iOS’ scanning LiDAR and Android’s time-of-flight depth imaging. The proposed technological innovation will make use of the novel back-facing infrared beam array to significantly increase precision in position measurements and the placement of augmented reality (AR) visualizations based on users’ movements and environmental data. This project will determine the extent to which LiDAR-aided AR technology can enable high-precision, position-based, and real-time data visualization. It will explore how the new technology can provide the kind of cognitive scaffolding and embodied experiences needed for advancing teaching about modeling motion with graphs and vectors. Research in the learning sciences will entail a collaboration with STEM educators to develop and test the effectiveness of scenarios for exploration in traditional and remote learning contexts. This proposal will assess full-body movement to make sense of motion graphs with a focus on embodied learning and practice with data visualization literacy.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.","Data visualization, representations, and dashboards; Community partnerships; Augmented/virtual/mixed reality; Embodied learning and cognition",,"Augmented/virtual/mixed reality, Data visualization,representations and dashboards, Embodied learning and cognition, Modeling and simulation (including agent-based modeling), Science education, Data science education","Wearable / physiological technology,Educator professional learning","Capacity Building,Learning Environments and Platforms",Learning Technology
Chrystian Vieyra,Android and IOS app developer,,Vieryra Software,Software engineering,,2114586,Combining Smartphone Light Detection and Ranging with Augmented Reality to Enhance Position-Based Teaching and Learning in STEM,"Understanding how to measure, display, and interpret motion is important for many STEM-related careers, particularly in the physical and data sciences. Educational researchers have advocated for numerous approaches to support sense-making with mathematical models of motion, but teachers often struggle to enact them due to limited resources. This project will make high-precision position sensing a reality for anyone who owns a smartphone by building on light-based mobile sensors (LiDAR) that are able to detect one’s distance from objects and location within a space. The educational research will measure the effect of using this new technology to improve student learning and engagement with regard to mathematical models with motion graphs, by producing a classroom-ready application and gamified lessons for teachers and students to use in traditional classrooms as well as the home. <br/><br/>Researchers and educational software developers will develop new data visualization technology based on iOS’ scanning LiDAR and Android’s time-of-flight depth imaging. The proposed technological innovation will make use of the novel back-facing infrared beam array to significantly increase precision in position measurements and the placement of augmented reality (AR) visualizations based on users’ movements and environmental data. This project will determine the extent to which LiDAR-aided AR technology can enable high-precision, position-based, and real-time data visualization. It will explore how the new technology can provide the kind of cognitive scaffolding and embodied experiences needed for advancing teaching about modeling motion with graphs and vectors. Research in the learning sciences will entail a collaboration with STEM educators to develop and test the effectiveness of scenarios for exploration in traditional and remote learning contexts. This proposal will assess full-body movement to make sense of motion graphs with a focus on embodied learning and practice with data visualization literacy.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.","Data visualization, representations, and dashboards; Community partnerships; Augmented/virtual/mixed reality; Embodied learning and cognition",,"Augmented/virtual/mixed reality, Data visualization,representations and dashboards, Embodied learning and cognition, Modeling and simulation (including agent-based modeling), Science education, Data science education",Software engineering,Other Disciplinary Areas,Computer Science
Daniel O'Brien,"Climate Modeling, Energy Policy, Biomedical Engineering, Physics Education",,Georgetown University,Department of Physics,,2114586,Combining Smartphone Light Detection and Ranging with Augmented Reality to Enhance Position-Based Teaching and Learning in STEM,"Understanding how to measure, display, and interpret motion is important for many STEM-related careers, particularly in the physical and data sciences. Educational researchers have advocated for numerous approaches to support sense-making with mathematical models of motion, but teachers often struggle to enact them due to limited resources. This project will make high-precision position sensing a reality for anyone who owns a smartphone by building on light-based mobile sensors (LiDAR) that are able to detect one’s distance from objects and location within a space. The educational research will measure the effect of using this new technology to improve student learning and engagement with regard to mathematical models with motion graphs, by producing a classroom-ready application and gamified lessons for teachers and students to use in traditional classrooms as well as the home. <br/><br/>Researchers and educational software developers will develop new data visualization technology based on iOS’ scanning LiDAR and Android’s time-of-flight depth imaging. The proposed technological innovation will make use of the novel back-facing infrared beam array to significantly increase precision in position measurements and the placement of augmented reality (AR) visualizations based on users’ movements and environmental data. This project will determine the extent to which LiDAR-aided AR technology can enable high-precision, position-based, and real-time data visualization. It will explore how the new technology can provide the kind of cognitive scaffolding and embodied experiences needed for advancing teaching about modeling motion with graphs and vectors. Research in the learning sciences will entail a collaboration with STEM educators to develop and test the effectiveness of scenarios for exploration in traditional and remote learning contexts. This proposal will assess full-body movement to make sense of motion graphs with a focus on embodied learning and practice with data visualization literacy.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.","Data visualization, representations, and dashboards; Community partnerships; Augmented/virtual/mixed reality; Embodied learning and cognition",,"Augmented/virtual/mixed reality, Data visualization,representations and dashboards, Embodied learning and cognition, Modeling and simulation (including agent-based modeling), Science education, Data science education","Environmental Science,Science education,Engineering education,Energy,Policy","Capacity Building,Other Disciplinary Areas,Disciplinary Areas",Physics
Kangwon Seo,"system health monitoring and failure prediction, data imbalance problems in machine learning and optimal experimental designs of reliability tests, teaching design and analysis of engineering experiments, applied statistical models, probability and statistics, multivariate data analysis",,University of Missouri-Columbia,"Industrial, Manufacturing, and Systems Engineering",,2202108,Research on the Use of Real-Time Tracking and Eye-Tracking Technology for Integrating Metacognition and Augmented Reality into Undergraduate Engineering Laboratories,"This project aims to innovate Augmented Reality (AR) learning platforms in an undergraduate engineering laboratory. Recently, due to the COVID-19 pandemic, in-person engineering laboratories faced significant challenges in providing hands-on exercise. AR technology might be a solution to the current challenge. Unlike virtual reality, AR does not cover a physical world but mixes 3D virtual objects into physical objects to improve students’ laboratory experiences and spatial awareness. However, students faced difficulties navigating the AR device and have experienced a mismatch between computer-generated 3D images and physical objects while learning in an AR environment. To transform AR learning from a static and isolated experience into a dynamic self-study, this project includes research on using a real-time tracking sensor with a 3D full-body motion capture system to improve AR usability and detect student’s premature termination of learning using metacognitive monitoring feedback and eye-tracking technology.  <br/><br/>The primary goal of this project is to integrate real-time 3D motion and location tracking systems to meet a series of objectives to gain insight into scientific development and technological innovation in a location-based AR environment. The first objective is to create the next generation of an AR learning platform by integrating state-of-the-art indoor real-time location technology and a 3D full-body motion capture system. The second objective is to detect the early termination of learning by using metacognitive monitoring feedback and eye movement data. The researchers will apply advanced gaze behavior metrics, such as fractal analysis of pupil dilation and eye inter-fixation duration, to identify significant eye gaze behavior representing student’s premature termination of learning. The last objective is to implement the research findings to promote instructional improvement in an engineering laboratory on the impact of receiving metacognitive feedback on learning performance. The current project will address integrated research and education activities to enhance our knowledge of effective undergraduate engineering laboratory education using real-time 3D motion and location tracking capabilities.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Formative assessment, Augmented/virtual/mixed reality, Biometrics (e.g.,eye-tracking,EEG), Self-regulation,reflection and metacognition","Educator professional learning,Machine learning,Learning Analytics,Multimodal data analysis,Software engineering,Bias and equity in AI","Analytics,Capacity Building,Other Disciplinary Areas,AI Approaches and Technologies","Industrial Engineering,Manufacturing Engineering, Systems Engineering"
Leping Liu,"instructional technology, instructional design, information technology in education, statistics, research design, counseling technologies",,"University of Nevada, Reno",Instructional Technology & Educational Statistics,,2202640,Impact of Utilizing Immersive Virtual Reality and Dynamic Assessment on Mining Engineering Education from the Community of Inquiry Perspective,"A qualified workforce for domestic mining production of critical minerals is essential to a clean energy transition. However, current U.S. mining engineering education programs are not adequately producing mining graduates with the desired qualifications. A lack of in-depth understanding of the scientific principles involved in mining engineering is one the primary factors prohibiting mining engineers from excelling in their duties. To improve the situation, innovations are needed to transform traditional mining engineering education. This project will study the application of immersive virtual reality (IVR) technology as an innovative tool to improve mining engineering education, with froth flotation as a test topic. Froth flotation is a complex three-phase mineral separation process that relies on interactions between physics, chemistry, and the flotation machine to recover valuable minerals. The project takes an interdisciplinary approach, with experts in mining engineering, computer science and engineering, cognitive psychology, learning analytics, and chemistry, working alongside multi-national mining companies to develop an IVR based platform for froth flotation education. Although the primary focus is on froth flotation, the IVR platform can be applied to a broad range of learning domains by substituting new content. The project also collaborates with the University Libraries @Reality Virtual + Augmented Reality Lab at the University of Nevada, Reno to promote learning with emerging technologies for a wide range of visitors, including university students and educators, Northern Nevada residents with their young children, and local K-12 students. <br/><br/>The project will be conducted with the community of inquiry (CoI) as the pedagogical framework and a dynamic assessment approach as a measurement tool. Three objectives will be achieved: 1) determining the implications of the CoI framework in an IVR environment in the context of froth flotation education, 2) developing dynamic assessment models to predict students’ learning outcomes using the CoI indicators measured in the IVR environment, and 3) demonstrating to what extent the application of IVR observed within the CoI framework and augmented by dynamic assessment can enhance froth flotation education. The research outcomes can potentially advance the current state-of-the-art in three areas: 1) improving froth flotation education by adopting an innovative teaching and learning platform, 2) adding new knowledge to the science of education by understanding how the integration of the CoI framework and dynamic assessment can impact the efficacy of the IVR application, and 3) advancing IVR software engineering in terms of software specification, design and implementation, usability, and testing and evaluation. This project is a critical first step in addressing gaps in the preparation of a U.S. workforce for domestic mining of critical minerals.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Cyber-enhanced/Computer-assisted assessments, Augmented/virtual/mixed reality, Engineering education, Learning analytics","Learning Analytics,Mental health,Instructional Design","Equity and Social Justice,Capacity Building","Curriculum and Instruction, Education"
Li-Ting Chen,"Research Methods, Educational Statistics, Online Teaching and Learning, Assessment, Health",,"University of Nevada, Reno",Educational Studies,,2202640,Impact of Utilizing Immersive Virtual Reality and Dynamic Assessment on Mining Engineering Education from the Community of Inquiry Perspective,"A qualified workforce for domestic mining production of critical minerals is essential to a clean energy transition. However, current U.S. mining engineering education programs are not adequately producing mining graduates with the desired qualifications. A lack of in-depth understanding of the scientific principles involved in mining engineering is one the primary factors prohibiting mining engineers from excelling in their duties. To improve the situation, innovations are needed to transform traditional mining engineering education. This project will study the application of immersive virtual reality (IVR) technology as an innovative tool to improve mining engineering education, with froth flotation as a test topic. Froth flotation is a complex three-phase mineral separation process that relies on interactions between physics, chemistry, and the flotation machine to recover valuable minerals. The project takes an interdisciplinary approach, with experts in mining engineering, computer science and engineering, cognitive psychology, learning analytics, and chemistry, working alongside multi-national mining companies to develop an IVR based platform for froth flotation education. Although the primary focus is on froth flotation, the IVR platform can be applied to a broad range of learning domains by substituting new content. The project also collaborates with the University Libraries @Reality Virtual + Augmented Reality Lab at the University of Nevada, Reno to promote learning with emerging technologies for a wide range of visitors, including university students and educators, Northern Nevada residents with their young children, and local K-12 students. <br/><br/>The project will be conducted with the community of inquiry (CoI) as the pedagogical framework and a dynamic assessment approach as a measurement tool. Three objectives will be achieved: 1) determining the implications of the CoI framework in an IVR environment in the context of froth flotation education, 2) developing dynamic assessment models to predict students’ learning outcomes using the CoI indicators measured in the IVR environment, and 3) demonstrating to what extent the application of IVR observed within the CoI framework and augmented by dynamic assessment can enhance froth flotation education. The research outcomes can potentially advance the current state-of-the-art in three areas: 1) improving froth flotation education by adopting an innovative teaching and learning platform, 2) adding new knowledge to the science of education by understanding how the integration of the CoI framework and dynamic assessment can impact the efficacy of the IVR application, and 3) advancing IVR software engineering in terms of software specification, design and implementation, usability, and testing and evaluation. This project is a critical first step in addressing gaps in the preparation of a U.S. workforce for domestic mining of critical minerals.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Cyber-enhanced/Computer-assisted assessments, Augmented/virtual/mixed reality, Engineering education, Learning analytics","Learning analytics,Cyber-enhanced/Computer-assisted assessments,Online learning,Health","Instruments Assessment and Measures,Analytics,Other Disciplinary Areas,Learning Environments and Platforms",Learning Sciences
Ying Yang,Polymer materials,,"University of Nevada, Reno",Chemistry,,2202640,Impact of Utilizing Immersive Virtual Reality and Dynamic Assessment on Mining Engineering Education from the Community of Inquiry Perspective,"A qualified workforce for domestic mining production of critical minerals is essential to a clean energy transition. However, current U.S. mining engineering education programs are not adequately producing mining graduates with the desired qualifications. A lack of in-depth understanding of the scientific principles involved in mining engineering is one the primary factors prohibiting mining engineers from excelling in their duties. To improve the situation, innovations are needed to transform traditional mining engineering education. This project will study the application of immersive virtual reality (IVR) technology as an innovative tool to improve mining engineering education, with froth flotation as a test topic. Froth flotation is a complex three-phase mineral separation process that relies on interactions between physics, chemistry, and the flotation machine to recover valuable minerals. The project takes an interdisciplinary approach, with experts in mining engineering, computer science and engineering, cognitive psychology, learning analytics, and chemistry, working alongside multi-national mining companies to develop an IVR based platform for froth flotation education. Although the primary focus is on froth flotation, the IVR platform can be applied to a broad range of learning domains by substituting new content. The project also collaborates with the University Libraries @Reality Virtual + Augmented Reality Lab at the University of Nevada, Reno to promote learning with emerging technologies for a wide range of visitors, including university students and educators, Northern Nevada residents with their young children, and local K-12 students. <br/><br/>The project will be conducted with the community of inquiry (CoI) as the pedagogical framework and a dynamic assessment approach as a measurement tool. Three objectives will be achieved: 1) determining the implications of the CoI framework in an IVR environment in the context of froth flotation education, 2) developing dynamic assessment models to predict students’ learning outcomes using the CoI indicators measured in the IVR environment, and 3) demonstrating to what extent the application of IVR observed within the CoI framework and augmented by dynamic assessment can enhance froth flotation education. The research outcomes can potentially advance the current state-of-the-art in three areas: 1) improving froth flotation education by adopting an innovative teaching and learning platform, 2) adding new knowledge to the science of education by understanding how the integration of the CoI framework and dynamic assessment can impact the efficacy of the IVR application, and 3) advancing IVR software engineering in terms of software specification, design and implementation, usability, and testing and evaluation. This project is a critical first step in addressing gaps in the preparation of a U.S. workforce for domestic mining of critical minerals.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Cyber-enhanced/Computer-assisted assessments, Augmented/virtual/mixed reality, Engineering education, Learning analytics",Engineering education,Disciplinary Areas,Chemistry
Kathy Ewoldt,"Learning Disabilities, Writing, Cultural & Linguistically Diverse, Learners, Assessment, Assistive Technology",,"University of Texas, San Antonio",Interdisciplinary Learning &Teaching (ILT),,2202632,"Enhancing Programming and Machine Learning Education for Students with Visual Impairments through the Use of Compilers, AI and Cloud Technologies","Attractive high-paying and highly flexible Computer Science careers should be more readily accessible for people with blindness or visual impairments (BVI). Unfortunately, teaching the required computer programming and data science skills to students with BVI is extremely challenging due to two major difficulties. The first difficulty comes from the limited capability of current screen readers to properly read computer codes that are a mix of English letters, digits, and punctuation marks. The specialized set of keystrokes used in programming is also not conveniently read by screen readers (e.g., spaces and tabs). The second difficulty comes from time-consuming and frustrating code navigation, whereby students with BVI must repeatedly use screen readers to read every line to locate the desired line for editing. Partnering with San Antonio Lighthouse for the Blind and Vision Impaired, the project will develop new accessibility tools, including a program syntax- and semantics-aware screen reader and a voice-command-based code navigation framework to address the above two difficulties. These accessibility tools will be offered through cloud-based web interfaces to provide nationwide access to students and educators. The success of this project will improve the effectiveness of teaching computer programming and data science to students with BVI, which in turn will increase accessibility for more individuals with BVI to participate in Computing Science with high-paying career opportunities and could lead to a more-diverse Computer Science workforce. <br/> <br/>These accessibility tools will use compilers, Artificial Intelligence (AI), and cloud technologies to read computer code statements based on their meanings, rather than only reading one character at a time. The screen reader will articulate the necessary information that beginning coders need and help them more easily understand the lexicon and semantics used in computer programming and data science. The voice-command-based code navigation will employ speech recognition and natural language processing so that students will be able to use their voice to easily locate a specific statement (e.g., a variable declaration) within their code. These accessibility tools will be integrated into Jupyter notebook and offered through the cloud which will give nationwide access to students and educators. This cloud-based solution will also allow sophisticated AI models to be employed without requiring the students to have powerful and expensive computers to run these accessibility tools. The project will conduct a systematic evaluation of these accessibility tools using single-case research design to deepen the understanding of how technologies, including compilers, AI, and cloud computing, can be applied to teaching Computer Science skills to students with BVI. The evaluation will also provide feedback on the effectiveness of different speech styles and provide additional feedback for future improvements of these accessibility tools.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Natural language processing and speech technologies; Workforce development; Accessibility and technology; Single-case Research Design,,"Natural language processing and speech technologies, Accessibility and technology, Machine learning, AI","Cyber-enhanced/Computer-assisted assessments,Inclusive/universal design,ELA education,Accessibility and technology","Instruments Assessment and Measures,Equity and Social Justice,Disciplinary Areas","Curriculum and Instruction, Education"
